PN,ATA,ALT_KATEGORI,AILE,MODEL,KRITIKLIK,ATOLYE,TEMIN_KANALI,LEAD_TIME_GUN,TALEP_2025,CEYREK_ORAN_2025_SBA,FILO_BUYUME_KATSAYISI,TALEP_2033_YILLIK,SERVIS_SEVIYESI_HEDEF,EMNIYET_STOGU,MIN_2025,MAX_2025,MIN_2033,MAX_2033,SCRAP_ORANI,SCRAP_2033_YILLIK,AOG_RISK_SKORU,ALARM_2033
PN-104201,72,ENGINE,AIRBUS,A350-900,AOG KRİTİK,YOK,Yurtdışı tamir,53.0,7,1.32,3.75,19.4,0.98,4.0,3.0,5.0,7.0,12.0,0.0,0.0,79.2,True
PN-100904,32,LANDING GEAR,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,25.0,24,6.0,3.81,90.6,0.98,6.0,5.0,11.0,13.0,36.0,0.083,7.6,79.2,True
PN-104628,72,ENGINE,BOEING,737 MAX 8,KRİTİK,YOK,Satınalma,77.0,26,6.5,3.81,98.0,0.95,8.0,10.0,17.0,29.0,54.0,0.115,11.3,79.2,True
PN-104817,29,HYDRAULIC POWER,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,20.0,31,7.75,3.75,114.7,0.98,6.0,5.0,13.0,13.0,42.0,0.129,14.8,78.9,False
PN-104709,32,LANDING GEAR,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,25.0,25,6.25,3.75,91.3,0.98,6.0,5.0,12.0,13.0,36.0,0.16,14.6,78.8,True
PN-104327,32,LANDING GEAR,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,47.0,7,1.75,3.81,26.4,0.98,4.0,3.0,5.0,8.0,15.0,0.0,0.0,78.7,True
PN-103606,29,HYDRAULIC POWER,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,25.0,24,6.0,3.75,89.5,0.98,6.0,5.0,11.0,13.0,36.0,0.083,7.5,78.7,True
PN-101355,34,NAVIGATION,AIRBUS,A320neo,AOG KRİTİK,YOK,Yurtdışı tamir,56.0,36,9.0,2.59,91.7,0.98,8.0,11.0,20.0,23.0,46.0,0.0,0.0,78.6,True
PN-100370,29,HYDRAULIC POWER,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,48.0,6,1.7,3.75,25.4,0.98,4.0,3.0,5.0,8.0,15.0,0.5,12.7,78.5,True
PN-102605,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,40.0,122,30.5,2.96,353.5,0.98,13.0,22.0,53.0,52.0,141.0,0.156,55.1,78.4,False
PN-102660,32,LANDING GEAR,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,54.0,1,0.42,3.75,6.1,0.98,2.0,3.0,4.0,3.0,5.0,0.0,0.0,78.2,False
PN-102782,72,ENGINE,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,22.0,25,6.25,3.75,92.1,0.98,5.0,5.0,12.0,11.0,35.0,0.16,14.7,78.2,False
PN-102293,72,ENGINE,BOEING,777-F,AOG KRİTİK,YOK,Yurtdışı tamir,51.0,92,23.0,2.5,228.5,0.98,12.0,21.0,44.0,44.0,102.0,0.185,42.2,77.9,False
PN-102106,72,ENGINE,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,27.0,19,4.75,3.81,71.3,0.98,5.0,5.0,10.0,11.0,29.0,0.211,15.0,77.9,True
PN-100266,32,LANDING GEAR,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,38.0,37,9.25,2.96,108.3,0.98,7.0,9.0,19.0,19.0,47.0,0.108,11.7,77.9,False
PN-102313,22,AUTO FLIGHT,BOEING,777-F,AOG KRİTİK,YOK,Satınalma,57.0,36,9.0,2.5,88.5,0.98,8.0,11.0,20.0,22.0,45.0,0.028,2.5,77.8,True
PN-103170,52,DOORS,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,15.0,31,7.75,3.75,113.4,0.98,5.0,5.0,13.0,10.0,39.0,0.097,11.0,77.6,False
PN-100440,80,STARTING,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,38.0,12,3.0,3.75,43.7,0.98,5.0,5.0,8.0,10.0,21.0,0.0,0.0,77.6,True
PN-101991,32,LANDING GEAR,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,29.0,17,4.25,3.81,63.0,0.98,5.0,5.0,10.0,11.0,27.0,0.059,3.7,77.6,True
PN-104003,32,LANDING GEAR,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,34.0,13,3.25,3.81,47.5,0.98,5.0,5.0,9.0,10.0,22.0,0.231,11.0,77.4,True
PN-104770,28,FUEL,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,34.0,12,3.0,3.81,44.4,0.98,5.0,5.0,8.0,10.0,22.0,0.083,3.7,77.1,True
PN-100825,23,COMMUNICATIONS,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,15.0,24,6.0,3.81,91.2,0.98,4.0,4.0,10.0,8.0,31.0,0.042,3.8,76.7,False
PN-103719,27,FLIGHT CONTROLS,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,63.0,9,2.25,2.96,26.0,0.98,5.0,5.0,8.0,10.0,17.0,0.0,0.0,76.7,True
PN-104123,27,FLIGHT CONTROLS,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,37.0,32,8.0,2.96,93.1,0.98,7.0,8.0,16.0,17.0,41.0,0.156,14.5,76.5,True
PN-102166,29,HYDRAULIC POWER,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,26.0,16,4.0,3.81,59.6,0.98,5.0,5.0,9.0,10.0,25.0,0.25,14.9,76.5,True
PN-101307,27,FLIGHT CONTROLS,AIRBUS,A350-900,AOG KRİTİK,YOK,Yurtdışı tamir,25.0,17,4.25,3.75,62.7,0.98,5.0,5.0,10.0,10.0,26.0,0.235,14.8,76.1,False
PN-104506,28,FUEL,BOEING,737 MAX 8,KRİTİK,YOK,Yurtdışı tamir,82.0,14,3.5,3.81,51.5,0.95,6.0,7.0,11.0,18.0,31.0,0.286,14.7,76.0,True
PN-100470,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,30.0,167,41.75,2.96,486.6,0.98,13.0,22.0,64.0,53.0,175.0,0.114,55.4,75.9,False
PN-100485,27,FLIGHT CONTROLS,AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,49.0,32,8.0,2.59,81.8,0.98,7.0,10.0,18.0,18.0,39.0,0.0,0.0,75.8,False
PN-103901,79,OIL,AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,40.0,60,15.0,2.59,154.3,0.98,9.0,13.0,28.0,26.0,65.0,0.167,25.7,75.8,False
PN-101013,29,HYDRAULIC POWER,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,29.0,13,3.25,3.75,47.8,0.98,5.0,5.0,9.0,9.0,21.0,0.231,11.0,75.7,False
PN-101401,27,FLIGHT CONTROLS,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,40.0,5,0.81,3.81,12.2,0.98,3.0,3.0,4.0,5.0,9.0,0.4,4.9,75.6,True
PN-102273,32,LANDING GEAR,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,40.0,26,6.5,2.96,75.8,0.98,6.0,7.0,14.0,15.0,34.0,0.115,8.7,75.6,True
PN-100088,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,45.0,21,5.25,2.96,61.6,0.98,6.0,7.0,13.0,14.0,30.0,0.095,5.9,75.5,True
PN-104224,73,ENGINE FUEL AND CONTROL,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,28.0,55,13.75,2.96,158.1,0.98,8.0,10.0,24.0,21.0,61.0,0.164,25.9,75.4,False
PN-102324,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,27.0,42,10.5,2.96,122.1,0.98,7.0,8.0,19.0,17.0,48.0,0.0,0.0,75.1,False
PN-102735,24,ELECTRICAL POWER,AIRBUS,A350-900,AOG KRİTİK,YOK,Yurtdışı tamir,26.0,13,3.25,3.75,48.1,0.98,4.0,3.0,7.0,8.0,21.0,0.077,3.7,75.0,True
PN-100376,72,ENGINE,AIRBUS,A320neo,AOG KRİTİK,YOK,Yurtdışı tamir,59.0,17,4.25,2.59,43.9,0.98,6.0,7.0,12.0,14.0,25.0,0.059,2.6,74.8,True
PN-101763,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,26.0,11,2.75,3.81,41.3,0.98,4.0,3.0,6.0,7.0,18.0,0.091,3.8,74.8,True
PN-103390,27,FLIGHT CONTROLS,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,27.0,11,2.75,3.75,40.6,0.98,4.0,3.0,6.0,8.0,19.0,0.091,3.7,74.6,True
PN-100630,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,60.0,4,0.97,2.96,11.1,0.98,3.0,3.0,4.0,5.0,8.0,0.0,0.0,74.6,True
PN-103046,71,POWER PLANT,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,33.0,4,1.7,3.75,25.4,0.98,4.0,3.0,5.0,7.0,14.0,0.5,12.7,74.6,True
PN-102915,32,LANDING GEAR,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,25.0,75,18.75,2.96,218.6,0.98,8.0,11.0,30.0,23.0,78.0,0.08,17.5,74.6,False
PN-101491,34,NAVIGATION,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,51.0,12,3.0,2.96,34.9,0.98,5.0,5.0,8.0,10.0,19.0,0.0,0.0,74.5,True
PN-102647,73,ENGINE FUEL AND CONTROL,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,36.0,24,6.0,2.96,69.5,0.98,6.0,7.0,13.0,13.0,31.0,0.083,5.8,74.0,False
PN-103076,23,COMMUNICATIONS,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,25.0,11,2.75,3.75,40.4,0.98,4.0,3.0,6.0,7.0,18.0,0.455,18.4,74.0,True
PN-104590,71,POWER PLANT,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,37.0,23,5.75,2.96,66.6,0.98,6.0,7.0,13.0,13.0,30.0,0.087,5.8,74.0,False
PN-104704,72,ENGINE,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,30.0,7,1.75,3.75,25.7,0.98,3.0,3.0,5.0,6.0,13.0,0.429,11.0,73.9,True
PN-103540,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,22.0,47,11.75,2.96,138.8,0.98,6.0,7.0,19.0,15.0,50.0,0.191,26.6,73.8,False
PN-100519,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,32.0,51,12.75,2.59,129.6,0.98,7.0,10.0,23.0,19.0,52.0,0.078,10.2,73.7,False
PN-102301,24,ELECTRICAL POWER,AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,49.0,24,6.0,2.59,59.7,0.98,6.0,8.0,14.0,15.0,30.0,0.042,2.5,73.7,True
PN-100212,73,ENGINE FUEL AND CONTROL,AIRBUS,A320neo,AOG KRİTİK,YOK,Yurtdışı tamir,45.0,27,6.75,2.59,68.6,0.98,6.0,8.0,15.0,15.0,33.0,0.148,10.2,73.6,False
PN-104034,32,LANDING GEAR,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,41.0,17,4.25,2.96,49.4,0.98,5.0,5.0,10.0,11.0,24.0,0.176,8.7,73.3,True
PN-104453,71,POWER PLANT,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,32.0,3,0.85,3.75,12.5,0.98,3.0,3.0,4.0,5.0,9.0,0.333,4.2,73.2,True
PN-101860,72,ENGINE,AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,43.0,27,6.75,2.59,68.1,0.98,6.0,8.0,15.0,15.0,33.0,0.037,2.5,73.0,False
PN-100181,24,ELECTRICAL POWER,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,24.0,7,1.75,3.81,25.6,0.98,3.0,3.0,5.0,5.0,12.0,0.0,0.0,72.8,False
PN-101884,52,DOORS,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,24.0,4,1.7,3.81,25.3,0.98,3.0,3.0,5.0,5.0,12.0,0.0,0.0,72.8,False
PN-101748,73,ENGINE FUEL AND CONTROL,AIRBUS,A320neo,AOG KRİTİK,YOK,Yurtdışı tamir,33.0,36,9.0,2.59,91.6,0.98,6.0,8.0,17.0,15.0,38.0,0.139,12.7,72.7,False
PN-102857,73,ENGINE FUEL AND CONTROL,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,47.0,9,2.25,2.96,26.0,0.98,4.0,5.0,8.0,8.0,15.0,0.111,2.9,72.7,False
PN-101581,26,FIRE PROTECTION,AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,52.0,16,4.0,2.59,40.5,0.98,5.0,7.0,11.0,11.0,22.0,0.125,5.1,72.7,False
PN-101545,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,28.0,84,21.0,2.59,213.7,0.98,9.0,13.0,34.0,26.0,80.0,0.107,22.9,72.7,False
PN-104090,72,ENGINE,AIRBUS,A320neo,AOG KRİTİK,YOK,Yurtdışı tamir,45.0,23,5.75,2.59,58.5,0.98,6.0,7.0,13.0,14.0,29.0,0.174,10.2,72.6,True
PN-100536,32,LANDING GEAR,AIRBUS,A350-900,KRİTİK,YOK,Yurtdışı tamir,50.0,55,13.75,3.75,203.4,0.95,9.0,13.0,27.0,37.0,88.0,0.073,14.8,72.6,True
PN-102796,76,ENGINE CONTROLS,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,26.0,6,1.46,3.75,21.8,0.98,3.0,3.0,5.0,5.0,11.0,0.0,0.0,72.5,False
PN-100546,32,LANDING GEAR,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,44.0,11,2.75,2.96,31.9,0.98,5.0,5.0,8.0,9.0,17.0,0.091,2.9,72.5,True
PN-103498,24,ELECTRICAL POWER,BOEING,737 MAX 8,KRİTİK,YOK,Satınalma,48.0,124,31.0,3.81,464.7,0.95,13.0,24.0,55.0,75.0,192.0,0.113,52.5,72.5,True
PN-104732,72,ENGINE,AIRBUS,A320neo,AOG KRİTİK,YOK,Yurtdışı tamir,30.0,38,9.5,2.59,96.5,0.98,6.0,8.0,18.0,14.0,39.0,0.053,5.1,72.4,False
PN-104749,30,ICE & RAIN PROTECTION,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,30.0,3,0.57,3.75,8.4,0.98,2.0,2.0,3.0,3.0,6.0,0.0,0.0,72.3,False
PN-104575,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,40.0,14,3.5,2.96,39.8,0.98,5.0,5.0,9.0,10.0,20.0,0.071,2.8,72.2,True
PN-100173,71,POWER PLANT,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,33.0,20,5.0,2.96,58.1,0.98,5.0,5.0,10.0,11.0,26.0,0.05,2.9,72.1,True
PN-103614,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,26.0,26,6.5,2.96,75.8,0.98,5.0,5.0,12.0,11.0,30.0,0.038,2.9,72.0,False
PN-104422,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,15.0,70,17.5,2.96,203.4,0.98,6.0,7.0,25.0,15.0,66.0,0.0,0.0,72.0,False
PN-101032,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,25.0,27,6.75,2.96,77.4,0.98,5.0,5.0,12.0,11.0,31.0,0.148,11.5,71.9,False
PN-101631,77,ENGINE INDICATING,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,27.0,1,0.85,3.75,12.2,0.98,2.0,3.0,4.0,3.0,7.0,1.0,12.2,71.9,False
PN-100661,72,ENGINE,BOEING,787-9,KRİTİK,YOK,Satınalma,47.0,122,30.5,3.75,446.9,0.95,13.0,23.0,54.0,71.0,183.0,0.189,84.3,71.8,True
PN-100154,32,LANDING GEAR,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,32.0,20,5.0,2.96,57.3,0.98,5.0,5.0,10.0,11.0,26.0,0.1,5.7,71.8,True
PN-100398,28,FUEL,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,22.0,7,1.69,3.75,25.5,0.98,3.0,3.0,5.0,5.0,12.0,0.143,3.6,71.8,False
PN-104348,72,ENGINE,AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,24.0,183,45.75,2.59,468.8,0.98,12.0,21.0,67.0,43.0,161.0,0.169,79.4,71.7,False
PN-101672,27,FLIGHT CONTROLS,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,25.0,4,1.1,3.75,16.2,0.98,3.0,3.0,5.0,5.0,10.0,0.5,8.1,71.7,False
PN-102558,21,AIR CONDITIONING,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,20.0,7,1.96,3.75,28.2,0.98,3.0,3.0,5.0,5.0,13.0,0.286,8.0,71.6,False
PN-101745,80,STARTING,AIRBUS,A320neo,AOG KRİTİK,YOK,Satınalma,41.0,23,5.75,2.59,57.6,0.98,6.0,7.0,13.0,13.0,28.0,0.043,2.5,71.5,False
